Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Arktika-M1,Russia,Russia,Naval Physical and Oceanographic Laboratory,Government,Earth Observation,Meteorology,Elliptical,,0,1025,39754,0.723650,63.3,717.8,2200,780,2000.00,28/02/2021,7,NPO Lavochkin,Russia,Baikonur Cosmodrome,Soyuz-2.1b,2021-016A,47719
Arkyd-6A,USA,USA,Planetary Resources,Commercial,Technology Development,,LEO,Sun-Synchronous,0,493,505,0.000873,97.5,94.5,10,,,11/01/2018,,Planetary Resources,USA,Satish Dhawan Space Centre,PSLV,2018-004V,43130
ArSat 1,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-71.8,35778,35795,0.000202,0.01,1436.07,3000,,,16/10/2014,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2014-062B,40272
ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-81,35786,35801,0.000178,0.01,1436.06,2977,,4600.00,30/09/2015,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941
Arthur,Belgium,Belgium,Aerospacelab,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,512,535,0.001668,97.5,95.1,20,,,30/06/2021,,Astrospacelab,Belgium,Cape Canaveral,Falcon 9,2021-059CC,48953
ASELSAT,NR,Turkey,Istanbul Technical  University,Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,522,536,0.001015,97.5,95.2,5,,,24/01/2021,,Istanbul Technical University,Turkey,Cape Canaveral,Falcon 9,2021-006AE,47441
AsiaSat-5,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,100.5,35778,35795,0.000202,0,1436.11,3760,,,11/08/2009,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696
AsiaSat-6,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,120,35783,35793,0.000119,0.07,1436.17,3700,,,07/09/2014,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-052A,40141
AsiaSat-7,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,105.5,35782,35793,0.000130,0.02,1436.17,3813,,,25/11/2011,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933
AsiaSat-8,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,105.5,35781,35793,0.000142,0.07,1436.1,4500,,8500.00,05/08/2014,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-046A,40107
AsiaSat-9,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,122,35783,35790,0.000083,0.02,1436.1,6140,,,28/09/2017,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-057A,42942
AsiaStar,USA,USA,1Worldspace,Commercial,Communications,,GEO,,104.97,35773,35801,0.000332,0.02,1436.15,2775,1530,5600.00,21/03/2000,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107
ASNARO-1,Japan,Japan,Japan Space Systems,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,506,507,0.000073,97.48,94.75,500,,,06/11/2014,3,NEC Corporation,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298
ASNARO-2,Japan,Japan,Japan Space Systems,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,493,505,0.000873,97.3,94.5,570,,,17/01/2018,3,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2018-007A,43152
ASTERISC,NR (1/22),Japan,Chiba Institute of Technology,Civil,Technology Development,,LEO,Sun-Synchronous,0,556,573,0.001226,97.6,94.5,4,,,08/11/2021,,Chiba Institute of Technology,Japan,Uchinoura Space Center,H2A,2021-102C,49397
Astra 1G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.24,35780,35791,0.000130,0.04,1436.08,3379,3010,6600.00,02/12/1997,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071
Astra 1KR,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.16,35766,35807,0.000486,0.08,1436.1,4332,,12000.00,20/04/2006,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055
Astra 1L,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.3,35772,35798,0.000308,0.05,1436.03,4500,,13000.00,04/05/2007,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-016A,31306
Astra 1M,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.2,35804,35852,0.000569,0.14,1438.2,5345,,9900.00,05/11/2008,15,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436
Astra 1N,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35715,35780,0.000772,0.12,1434.1,5350,,,06/08/2011,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2011-041A,37775
Astra 2A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.16,35776,35797,0.000249,0.08,1436.12,3635,2500,7000.00,30/08/1998,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462
Astra 2C,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.21,35768,35804,0.000427,0.07,1436.12,3643,2000,7000.00,16/06/2001,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853
Astra 2D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.14,35770,35802,0.000380,0.07,1436.1,1420,700,1500.00,19/12/2000,15,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 5G,2000-081A,26638
Astra 2E,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35781,35793,0.000142,0.11,1436.12,6052,,13000.00,29/09/2013,15,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2013-056A,39285
Astra 2F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35777,35795,0.000213,0.06,1436.07,6000,2660,,28/09/2012,15,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2012-051A,38778
Astra 2G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35785,35789,0.000047,0.09,1436.11,6000,,13000.00,27/12/2014,15,Airbus Defense and Space,Germany/France,Baikonur Cosmodrome,Proton M,2014-089A,40364
Astra 3A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,23.48,35770,35804,0.000403,0.06,1436.07,1500,750,1500.00,29/03/2002,10,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015B,27400
Astra 3B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,23.5,35768,35806,0.000451,0.08,1436.11,5471,,10000.00,21/05/2010,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-021A,36581
Astra 5B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,31.55,35787,35793,0.000071,0.05,1436.26,5724,,,22/03/2014,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2014-011B,39617
Astranis Demosat-2,USA,USA,Astranis,Commercial,Technology Development,,LEO,Sun-Synchronous,0,494,505,0.000801,97.5,94.5,,,,11/01/2018,,Astranis,USA,Satish Dhawan Space Centre,PSLV,2018-004S,43127
Astrocast-0101 ,NR (1/22),Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0,521,534,0.000942,97.5,94.6,4,,,24/01/2021,,Astrocast,Switzerland,Cape Canaveral,Falcon 9/Sherpa FX,2021-006T,47430
Astrocast-0102 ,NR (1/22),Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0,523,535,0.000870,97.5,94.6,4,,,24/01/2021,,Astrocast,Switzerland,Cape Canaveral,Falcon 9/Sherpa FX,2021-006CD,47488
Astrocast-0103 ,NR (1/22),Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0,522,536,0.001015,97.5,94.6,4,,,24/01/2021,,Astrocast,Switzerland,Cape Canaveral,Falcon 9/Sherpa FX,2021-006CC,47487
Astrocast-0104 ,NR (1/22),Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0,524,537,0.000942,97.5,94.5,4,,,24/01/2021,,Astrocast,Switzerland,Cape Canaveral,Falcon 9/Sherpa FX,2021-006DK,47519
Astrocast-0105 ,NR (1/22),Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0,526,535,0.000652,97.5,94.5,4,,,24/01/2021,,Astrocast,Switzerland,Cape Canaveral,Falcon 9/Sherpa FX,2021-006DH,47517
Astrocast-0201 ,NR (1/22),Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0,512,535,0.001668,97.5,95.1,4,,,30/06/2021,,Astrocast,Swizerland,Cape Canaveral,Falcon 9,2021-059CD,48954
Astrocast-0202   ,NR (1/22),Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0,511,536,0.001813,97.5,95,4,,,30/06/2021,,Astrocast,Switzerland,Cape Canaveral,Falcon 9,2021-059CL,48961
Astrocast-0203,NR (1/22),Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0,511,536,0.001813,97.5,95,4,,,30/06/2021,,Astrocast,Switzerland,Cape Canaveral,Falcon 9,2021-059CE,48955
Astrocast-0204 ,NR (1/22),Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0,513,536,0.001668,97.5,95.1,4,,,30/06/2021,,Astrocast,Switzerland,Cape Canaveral,Falcon 9,2021-059CB,48952
Astrocast-0205 ,NR (1/22),Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0,513,535,0.001596,97.5,95,4,,,30/06/2021,,Astrocast,Switzerland,Cape Canaveral,Falcon 9,2021-059CK,48960
Astrosat,India,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,,LEO,Equatorial,0,632,649,0.001212,5.99,97.54,230,,,28/09/2015,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C-30,2015-052A,40930
AT&T T16,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-101,35653,36757,0.012965,0.02,1436.07,6350,,,20/06/2019,15,Airbus Defense and Space,France,Guiana Space Center,Ariane 5,2019-034A,44333
Athena,USA,USA,PointView Tech,Commercial,Communications,,LEO,Sun-Synchronous,0,516,524,0.000581,97.4,94.5,138,,,02/09/2020,,Maxar Technologies,USA,Guiana Space Center,Vega,2020-061D,46275
Athena-Fidus,France,France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,,GEO,,25,35784,35788,0.000047,0.05,1436.06,3080,,,06/02/2014,15,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2014-006B,39509
Athenoxat-1,NR,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,,LEO,Equatorial,0,532,550,0.001302,14.98,95.46,6,,,16/12/2015,,Microspace Rapid Pvt Ltd.,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077C,41168
Azerspace 1/Africasat-1a,Azerbaijan,Azerbaijan,Azercosmos,Government,Communications,,GEO,,46,35778,35794,0.000190,0.04,1436.08,3250,1438,,07/02/2013,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2013-006B,39079
Azerspace 2/Intelsat-38,Azerbaijan,Azerbaijan,Azercosmos,Government,Communications,,GEO,,45,35750,35750,0.000000,0.02,1436.1,3500,,,25/09/2018,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2018-074A,43632
Badr 4,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26.02,35780,35791,0.000130,0.07,1436.06,3304,1487,,08/11/2006,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2006-051A,29526
Badr 5,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26,35834,35883,0.000580,0.06,1439.76,5420,,,03/06/2010,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,2010-025A,36592
Badr 5A,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,30.5,35605,35623,0.000214,0.03,1427.27,4940,,,26/06/2010,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-032B,36745
Badr 6,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26.08,35768,35805,0.000439,0.05,1436.1,3400,,6000.00,07/07/2008,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2008-034B,33154
Badr 7,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26,35768,35817,0.000581,0.1,1436,5500,,,10/11/2015,15,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2015-065B,41029
Bangabandhu 1,NR,Bangladesh,Bangladesh Telecommunication Regulatory Commission (BTRC),Government,Communications,,GEO,,119.1,35778,35793,0.000178,0,1436.06,3500,,,11/05/2018,15,Thales Alenia Space,France/Belgium/Spain/Italy,Cape Canaveral,Falcon 9,2018-044A,43463
Baoyun,NR (1/22),China,Tianyi Research Institute,Civil,Unknown,,LEO,Sun-Synchronous,0,472,502,0.002188,97.4,95,20,,,06/12/2021,,Unknown,China,Jiuquan Satellite Launch Center,Ceres 1,2021-117C,49814
Cosmos 2503,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,570,586,0.001151,97.7,96.1,4000,3500,,27/02/2015,5,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2015-009A,40420
Cosmos 2515,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,549,594,0.003241,97.62,96.1,4000,3500,,24/03/2016,5,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1a,2016-020A,41394
Cosmos 2556,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,337,556,0.016064,97.70,94.6,3700,3500,,19/05/2022,5,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1a,2022-054A,52713
Cosmos 2567,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,501,514,0.000945,97.60,94.6,3700,3500,,23/03/2023,5,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1a,2023-040A,55978
BB-1,USA,USA,Space Development Agency,Military,Technology Demonstration,,LEO,Polar,0,938,951,0.000889,81,104,300,300,,02/04/2023,,Leidos,USA,Vandenberg AFB,Falcon 9,2023-050J,56171
BB-2,USA,USA,Space Development Agency,Military,Technology Demonstration,,LEO,Polar,0,939,950,0.000752,81,104,300,300,,02/04/2023,,Leidos,USA,Vandenberg AFB,Falcon 9,2023-050K,56170
BDSAT,NR (4/22),Czech Republic,Central European Institute of Technology,Government,Technology Demonstration,,LEO,Sun-Synchronous,0,497,509,0.000873,97.4,97,1,,,01/04/2022,,Central European Institute of Technology,Czech Republic,Cape Canaveral,Falcon 9,2022-033U,52175
BDSAT-2,NR (9/23),Czech Republic,Central European Institute of Technology,Civil,Communications,Amateur Radio,LEO,Sun-Synchronous,0,515,537,0.001595,97.5,95.1,2,2,,03/01/2023,,Central European Institute of Technology/,Czech Republic,Cape Canaveral,Falcon 9,2023-001CT,55098
Beesat-5,Germany,Germany,Technical University Berlin,Civil,Technology Demonstration,,LEO,Sun-Synchronous,0,535,558,0.001663,97.6,95.5,1,,,22/03/2021,,Technical University Berlin,Germany,Baikonur Cosmodrome,Soyuz-2.1a,2021-022AM,48083
Beesat-6,Germany,Germany,Technical University Berlin,Civil,Technology Demonstration,,LEO,Sun-Synchronous,0,535,562,0.001951,97.6,95.5,1,,,22/03/2021,,Technical University Berlin,Germany,Baikonur Cosmodrome,Soyuz-2.1a,2021-022AB,47957
Beesat-7,Germany,Germany,Technical University Berlin,Civil,Technology Demonstration,,LEO,Sun-Synchronous,0,535,562,0.001951,97.6,95.5,1,,,22/03/2021,,Technical University Berlin,Germany,Baikonur Cosmodrome,Soyuz-2.1a,2021-022AN,48084
Beesat-8,Germany,Germany,Technical University Berlin,Civil,Technology Demonstration,,LEO,Sun-Synchronous,0,535,556,0.001518,97.6,95.5,1,,,22/03/2021,,Technical University Berlin,Germany,Baikonur Cosmodrome,Soyuz-2.1a,2021-022AP,48085
Beesat-9,Germany,Germany,Technical University Berlin,Civil,Technology Development,,LEO,Sun-Synchronous,0,514,546,0.002319,97.5,95.2,1,,,05/07/2019,,Technical University Berlin,Germany,Vostochny Cosmodrome,Soyuz-2.1b,2019-038AC,44412
Beidou 2-12,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21460,21595,0.002420,55.16,773.19,2200,,,28/04/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018A,38250
Beidou 2-13,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21452,21603,0.002706,55.1,773.21,2200,,,28/04/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018B,38251
Beidou 2-15,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21477,21574,0.001739,55,773.1,3800,,,18/09/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-050B,38775
Beidou 2-16,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,80,35775,35799,0.000285,1.84,1436.11,3800,2300,,25/10/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2012-059A,38953
Beidou 2-17,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,100.3,35676,35890,0.002538,54.97,1435.92,4200,1900,,30/03/2016,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2016-021A,41434
Beidou 2-18,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,144,35776,35794,0.000213,1.84,1436.1,3800,,,12/06/2016,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2016-037A,41586
Beidou 3I-1S,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,107.48,35796,36781,0.011545,54.9,1461.81,4200,,,30/03/2015,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2015-019A,40549
Beidou 3I-2S,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,89.5,35606,35953,0.004116,55,1435.73,4200,,,29/09/2015,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-053A,40938
Beidou 3M-1S,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21520,21549,0.000520,55,773.2,800,280,,25/07/2015,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037A,40748
Beidou 3M-2S,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21521,21550,0.000520,55,773.3,800,280,,25/07/2015,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037B,40749
Beidou 3-M1,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,0,21506,21549,0.000771,55,773.2,800,280,,05/11/2017,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2017-069A,43001
Beidou 3-23,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,0,21509,21561,0.000932,55,773.2,800,280,,22/09/2019,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2019-061A,44542
Beidou 3-24,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,0,21515,21554,0.000699,55,773.2,800,280,,22/09/2019,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2019-061B,44543
Beidou 3-25,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,0,21541,22549,0.017737,55,773.2,800,280,,05/11/2017,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2017-069B,43002
Beidou DW 26,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,0,21514,21541,0.000484,55,773.2,800,280,,11/01/2018,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2018-003A,43107
Beidou DW 27,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,0,21516,21539,0.000412,55,773.2,800,280,,11/01/2018,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2018-003B,43108
Beidou DW 28,China,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,0,21508,21547,0.000699,55,773.2,800,280,,12/02/2018,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2018-018A,43207
